,Area,Year,Area Harvested USDA (1000 HA),Production USDA (1000 MT),Yield USDA (MT/HA),Area Harvested FAO (1000 HA),Production FAO (1000 MT),Yield FAO (MT/HA),dewpoint_temperature_2m (°C),soil_temperature_level_1 (°C),soil_temperature_level_2 (°C),soil_temperature_level_3 (°C),soil_temperature_level_4 (°C),surface_net_solar_radiation_sum (J/m^2),temperature_2m (°C),temperature_2m_max (°C),temperature_2m_min (°C),total_evaporation_sum (mm),total_precipitation_sum (mm),u_component_of_wind_10m (m/s),v_component_of_wind_10m (m/s),volumetric_soil_water_layer_1 (vol fraction),volumetric_soil_water_layer_2 (vol fraction),volumetric_soil_water_layer_3 (vol fraction),volumetric_soil_water_layer_4 (vol fraction),precipitation (mm)
0,Kenya,1960,1050.0,1143.0,1.09,,,,15.9243195062936,26.95591096792888,26.91657926254237,26.90932145282176,26.94101253745196,529124298.3442499,24.2364281716504,31.358949106860734,18.246775029909426,-696.0987389739034,816.8507915764026,-1.7158020333178357,1.6288805915785671,0.1933376033374695,0.2194602186706372,0.2164912948252008,0.216762234126619,
1,Kenya,1961,1050.0,1270.0,1.21,750.0,940.0,1.2533,16.561341547620476,26.6555102301272,26.64822385077557,26.727530375773625,26.923847605381127,517689868.20725614,24.08982431167148,31.236868444660196,18.196873501002766,-784.8768921509451,1083.460766228669,-1.4515299363558851,1.4231168857292544,0.2162773875739513,0.2370106804839812,0.2232703242380014,0.2128229092308825,
2,Kenya,1962,1150.0,1397.0,1.21,900.0,1100.0,1.2222,15.53605081295342,26.98103069504869,26.895298793518435,26.767869834961548,26.53504160482611,532353635.4832716,24.2405485403203,31.63744493554493,17.842571618844044,-673.8482046845525,737.1307041521447,-1.548178182433621,1.4268866224241523,0.1841656434264202,0.2158348127586477,0.2280341861989524,0.2272616756519283,
3,Kenya,1963,1133.0,1400.0,1.24,1000.0,1250.0,1.25,16.18449500899023,26.62348959052668,26.60494456458421,26.65071726348636,26.75305334137539,514010231.6990388,23.985978982260505,30.9899391646605,18.09904037532965,-717.5927378681989,997.2403011868678,-1.4282090213541536,1.4690919350927365,0.205768271082476,0.2293877126940599,0.2262657491238914,0.2243081545292541,
4,Kenya,1964,1133.0,1270.0,1.12,1050.0,1230.0,1.1714,15.905193396921746,26.726709497260256,26.66696153600624,26.60576647018168,26.54352894287992,517920447.76267225,24.055407835047237,31.18465043453031,18.048842975092395,-685.2741413026987,753.9098797000674,-1.5376790077036329,1.557983276992317,0.1904276506359513,0.2207753199352898,0.2277642117422204,0.2259810613142966,
5,Kenya,1965,1133.0,1270.0,1.12,1214.0,1300.53,1.0713,15.40860211213691,27.2640108256918,27.198549212087645,27.116176940682887,27.018440958358514,538309661.7220919,24.411501881034557,31.72635289708785,18.12457313864323,-631.2897554586098,736.2436999693024,-1.6339378309350572,1.5538132635272464,0.1853918190755465,0.211299288674966,0.2079726800023063,0.2169525775790957,
6,Kenya,1966,1214.0,1451.0,1.2,1010.0,1090.0,1.0792,15.766082144227331,27.842478100300823,27.76973869615776,27.654099495655625,27.483692947797252,545499869.325481,24.922072644996177,32.22163585617421,18.65945713199139,-637.4398370020292,711.2954312682529,-1.6697091378671365,1.7016996499889363,0.1822160750047413,0.2087547629915725,0.2088601110197192,0.213410800886534,
7,Kenya,1967,1170.0,1633.0,1.4,1200.0,1440.0,1.2,15.656231415037828,26.947492425906177,26.950417971233502,27.06239504994569,27.333562582363715,536765629.9080644,24.18071416440992,31.39093177338,18.058349803124784,-692.5235026943445,924.4994840925394,-1.5461131028700767,1.4252341429104105,0.2002648705966964,0.2265195055549457,0.2221518748452191,0.2123270364521517,
8,Kenya,1968,1214.0,1600.0,1.32,1380.0,1730.0,1.2536,15.744045194045016,26.43651270639037,26.382176385427854,26.332546001414286,26.248887728357836,525483376.8747637,23.80678312735324,30.965824731078133,17.64757029279248,-733.1932495136672,874.9140894707837,-1.5489702058916548,1.4217384500458687,0.2013359301575877,0.2294243623095092,0.2346246975370124,0.2264251260922027,
9,Kenya,1969,1250.0,1400.0,1.12,1350.0,1720.0,1.2741,15.662591536591467,27.725939940731205,27.63642648806985,27.480987985904395,27.241383026254567,539333635.8746792,24.78580122385972,32.15074013781149,18.162860678152256,-566.8866896205359,546.3709588491733,-1.77415386279275,1.5823277015360426,0.1667426590314181,0.1958199450958066,0.1988455915895024,0.2158287972991758,
